		embryo_1	embryo_1	embryo_2	embryo_2	embryo_3	embryo_3	embryo_4	embryo_4	embryo_5	embryo_5	embryo_6	embryo_6	embryo_7	embryo_7	embryo_8	embryo_8	embryo_9	embryo_9	embryo_10	embryo_10
ENSMUSG00000000149	Gna12	260181.0	361261.0	993069.0	468258.0	211776.0	911634.0	576303.0	770824.0	835247.0	721714.0	1078950.0	175894.0	848809.0	575336.0	1081610.0	672511.0	159516.0	304260.0	608574.0	312637.0
ENSMUSG00000000154	Slc22a18	0.0	0.0	36424.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000167	Pih1d2	95977.6	2834.6	1356330.0	82485.6	0.0	0.0	580036.0	0.0	2200630.0	0.0	0.0	0.0	19061.8	0.0	0.0	0.0	1130690.0	2962.0	9515.2	395093.0
ENSMUSG00000000168	Dlat	75806.6	54931.1	276092.0	41530.6	531629.0	815.9	0.0	339037.0	1106370.0	176635.0	57063.0	2633890.0	1106570.0	1271.7	311395.0	30277.3	804829.0	0.0	58782.2	1037.6
ENSMUSG00000000171	Sdhd	179071.0	1555750.0	1618390.0	1263710.0	2179630.0	1113290.0	0.0	328498.0	1193530.0	2087750.0	5661.6	0.0	442751.0	199555.0	474185.0	1889650.0	20517.8	801497.0	1761660.0	951523.0
ENSMUSG00000000182	Fgf23	0.0	0.0	12781.9	0.0	72046.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000184	Ccnd2	742.3	2138.0	119608.0	16307.4	3982.0	112879.0	5477.1	1018.5	154872.0	658.9	0.0	0.0	0.0	6424.3	0.0	1013.6	0.0	0.0	0.0	0.0
ENSMUSG00000000194	Gpr107	2916440.0	1615080.0	1326130.0	2991380.0	2776990.0	6115670.0	661124.0	41703.5	2181570.0	105946.0	3833050.0	1523.3	2907390.0	4968730.0	14116.5	4005640.0	34691.6	802302.0	3182490.0	3209720.0
ENSMUSG00000000197	Nalcn	7195.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000214	Th	1125690.0	440809.0	447644.0	604585.0	932050.0	114146.0	1901950.0	706200.0	1196580.0	884737.0	1682640.0	1138660.0	647655.0	714647.0	816964.0	46782.1	6378.2	68729.1	1729990.0	846250.0
ENSMUSG00000000215	Ins2	0.0	0.0	0.0	0.0	0.0	606968.0	1158240.0	0.0	0.0	0.0	0.0	0.0	36688.3	0.0	0.0	0.0	0.0	871584.0	0.0	0.0
ENSMUSG00000000223	Drp2	0.0	0.0	881.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000247	Lhx2	3356.3	0.0	2688.5	8373.0	88260.4	0.0	0.0	2379.0	0.0	0.0	51145.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000248	Clec2g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1420.2	0.0	0.0	0.0	254539.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000253	Gmpr	338080.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179913.0	437807.0	546037.0	0.0	0.0	880375.0	0.0	633353.0	0.0	0.0	0.0	0.0
ENSMUSG00000000263	Glra1	0.0	10528.6	1744.4	0.0	0.0	0.0	0.0	2079.3	0.0	22952.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000266	Mid2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1020.0	0.0	0.0
ENSMUSG00000000275	Trim25	126318.0	238056.0	31531.6	3478.3	14223.1	92857.3	0.0	133217.0	26642.3	4600.7	397509.0	3281.6	266233.0	143845.0	8260.7	178443.0	56293.2	68768.2	404.7	165546.0
ENSMUSG00000000276	Dgke	291347.0	189189.0	460299.0	527998.0	466220.0	401264.0	425490.0	492325.0	399466.0	407929.0	540842.0	306383.0	503374.0	290316.0	297164.0	605266.0	493575.0	255433.0	494837.0	503705.0
ENSMUSG00000000278	Scpep1	1389230.0	2126360.0	711002.0	1749310.0	1200980.0	1765720.0	1510080.0	1202270.0	1210960.0	1056090.0	469853.0	840867.0	1262800.0	869096.0	2021720.0	2151510.0	1477500.0	1410930.0	1865080.0	1744490.0
ENSMUSG00000000282	Mnt	2291.1	7259.6	72411.4	4438.6	11425.9	30095.5	755.2	0.0	75022.3	82466.0	18646.7	0.0	568.5	14625.1	0.0	7249.1	258581.0	24823.4	0.0	1506.0
ENSMUSG00000000290	Itgb2	0.0	0.0	7289.8	0.0	0.0	0.0	0.0	0.0	0.0	58460.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169686.0	7166.0
ENSMUSG00000000295	Hddc2	15871.0	0.0	0.0	560542.0	376272.0	13160.5	0.0	238510.0	394244.0	0.0	0.0	117577.0	0.0	0.0	25568.5	761452.0	0.0	0.0	0.0	0.0
ENSMUSG00000000296	Tpd52l1	39722.2	0.0	0.0	0.0	4989.0	222921.0	391426.0	327587.0	0.0	189015.0	6677.3	0.0	5394.7	728836.0	0.0	0.0	71474.9	2964.2	0.0	0.0
ENSMUSG00000000301	Pemt	5849700.0	7908110.0	8512020.0	9488240.0	11176200.0	15145400.0	11174700.0	5164260.0	16100000.0	11989900.0	14664500.0	11125400.0	10514000.0	11417800.0	21547100.0	16761200.0	16455000.0	8758810.0	17139300.0	24034900.0
ENSMUSG00000000303	Cdh1	203071.0	296175.0	120482.0	22722.9	39722.6	29610.7	48004.3	285656.0	98851.1	13380.5	262188.0	168713.0	190922.0	92510.0	0.0	0.0	0.0	281992.0	1200.8	783727.0
ENSMUSG00000000305	Cdh4	1356.3	6359.5	86429.4	444.7	18153.9	148670.0	493167.0	175119.0	44455.4	43185.9	21036.8	20842.7	1296460.0	516.0	4345.9	0.0	2033.3	138694.0	95035.0	3358.5
ENSMUSG00000000308	Ckmt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	577879.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000317	Bcl6b	0.0	0.0	0.0	54409.1	0.0	0.0	0.0	7389.6	86791.6	10816.4	0.0	0.0	0.0	7235.9	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000318	Clec10a	30304.0	0.0	535807.0	0.0	889445.0	1413420.0	1404190.0	848540.0	1097290.0	1829120.0	661457.0	792188.0	3396370.0	329439.0	1150930.0	2166010.0	1249450.0	0.0	0.0	2980260.0
ENSMUSG00000000320	Alox12	539849.0	493808.0	502957.0	799538.0	991314.0	621277.0	651769.0	533070.0	748922.0	731563.0	679324.0	646207.0	518192.0	1073160.0	884572.0	904074.0	643457.0	323456.0	494822.0	651385.0
ENSMUSG00000000325	Arvcf	1432.4	0.0	0.0	11429.2	0.0	0.0	0.0	0.0	0.0	3356.7	186239.0	0.0	1917.4	0.0	0.0	4091.7	4639.5	612825.0	728094.0	144406.0
ENSMUSG00000000326	Comt	259235.0	153805.0	436263.0	484509.0	172441.0	364327.0	149206.0	140723.0	177238.0	197861.0	83827.0	85051.8	56352.9	97833.4	108038.0	90930.7	130899.0	68124.2	229657.0	105045.0
ENSMUSG00000000339	Rtca	240837.0	387970.0	2568.8	217193.0	198879.0	0.0	838710.0	311153.0	333368.0	361924.0	191895.0	94548.7	24519.2	483690.0	0.0	863296.0	8208.5	1019150.0	609966.0	1155640.0
ENSMUSG00000000340	Dbt	993190.0	242720.0	405205.0	389942.0	965106.0	880956.0	324147.0	530076.0	584358.0	645259.0	189755.0	256362.0	196397.0	452369.0	289376.0	545498.0	3112.7	80668.2	386823.0	387005.0
ENSMUSG00000000346	Dazap2	1613700.0	2184430.0	1203120.0	2106580.0	2489620.0	2005290.0	2307920.0	2345970.0	1995180.0	2174400.0	1061210.0	1658140.0	1487100.0	1358620.0	2801810.0	1436120.0	1665110.0	1574270.0	2168200.0	2316510.0
ENSMUSG00000000355	Mcts1	3526970.0	1737990.0	3672510.0	6837500.0	5501470.0	7880500.0	2997990.0	1685500.0	2638990.0	6517910.0	3234480.0	6531830.0	2375350.0	11441700.0	9293230.0	1128850.0	2692110.0	8687490.0	6047290.0	8221780.0
ENSMUSG00000000365	Rnf17	265601.0	102957.0	64848.6	110601.0	243979.0	89577.6	156851.0	51505.2	340667.0	182553.0	191669.0	250599.0	275853.0	268367.0	276289.0	472451.0	106955.0	196077.0	132192.0	228859.0
ENSMUSG00000000374	Trappc10	182891.0	185459.0	136368.0	84495.2	71636.1	100597.0	157275.0	29737.7	23246.6	39308.0	199020.0	146882.0	20569.0	80864.5	176424.0	77360.5	49798.3	80611.8	49868.0	101381.0
ENSMUSG00000000378	Ccm2	19320.6	687174.0	302443.0	886175.0	157017.0	453544.0	2558.0	0.0	894238.0	321337.0	9846.1	0.0	3747.3	0.0	0.0	0.0	0.0	943891.0	0.0	1751650.0
ENSMUSG00000000384	Tbrg4	974168.0	467140.0	1903800.0	2599130.0	2020650.0	2807320.0	1412670.0	791326.0	1450840.0	1735760.0	246399.0	26678.6	1942620.0	1131160.0	58399.1	1495700.0	2784.6	341249.0	993812.0	418095.0
ENSMUSG00000000385	Tmprss2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26369.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000392	Fap	1263.2	0.0	0.0	844.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	771.4	0.0
ENSMUSG00000000399	Ndufa9	1472690.0	1753980.0	1607080.0	1426140.0	1746760.0	1441640.0	475435.0	13827.0	1561930.0	1632110.0	695800.0	1360770.0	1601420.0	1925260.0	3277160.0	1668820.0	2397540.0	1624820.0	2829870.0	2355680.0
ENSMUSG00000000402	Egfl6	0.0	0.0	0.0	0.0	0.0	4919.2	0.0	0.0	0.0	0.0	1707.8	0.0	751.8	479393.0	0.0	1054.4	0.0	0.0	0.0	0.0
ENSMUSG00000000409	Lck	875921.0	99683.3	1179030.0	451614.0	857425.0	207975.0	290988.0	750270.0	314351.0	474426.0	74721.7	0.0	0.0	7423130.0	28839.1	594680.0	2876.4	0.0	137989.0	3559.3
ENSMUSG00000000416	Cttnbp2	0.0	0.0	0.0	0.0	860.2	228849.0	649.1	61578.5	0.0	844.4	0.0	0.0	0.0	2523.9	0.0	0.0	0.0	1814.9	0.0	0.0
ENSMUSG00000000420	Galnt1	49008.6	225943.0	89844.4	382079.0	910002.0	71871.0	50809.5	10761.6	108286.0	226938.0	27919.4	8092.0	95756.5	765296.0	810.4	13065.2	0.0	106561.0	196717.0	470365.0
ENSMUSG00000000435	Myf5	0.0	1614.8	0.0	0.0	2051.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000439	Mkrn2	1785580.0	1773040.0	1095790.0	1334440.0	2079930.0	2232380.0	1232240.0	1128980.0	2116740.0	2086250.0	3188360.0	2541300.0	1807900.0	1963860.0	3076860.0	2947140.0	796089.0	1660670.0	2039630.0	2930560.0
ENSMUSG00000000440	Pparg	0.0	0.0	0.0	0.0	0.0	0.0	420985.0	2132.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1984.1	0.0	0.0	0.0	637545.0
ENSMUSG00000000441	Raf1	1291760.0	1215080.0	527854.0	447901.0	1120360.0	807129.0	1652800.0	1154300.0	1149650.0	1520510.0	1688170.0	1066390.0	889903.0	851024.0	1102740.0	394165.0	870756.0	799664.0	558594.0	789309.0
ENSMUSG00000000486	1-Sep	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18846.9	116632.0	187399.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000489	Pdgfb	0.0	58529.3	0.0	0.0	0.0	0.0	0.0	6460.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1296.8	0.0
ENSMUSG00000000530	Acvrl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12547.2	56101.5	27228.8	13684.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000531	Grasp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15837.5	0.0	0.0	0.0	0.0	0.0	0.0	4063.8	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000532	Acvr1b	17606.9	22494.3	0.0	0.0	0.0	0.0	0.0	0.0	4546.6	9163.3	46096.3	11805.6	0.0	0.0	0.0	0.0	965.3	8034.9	616.8	0.0
ENSMUSG00000000538	Tom1l2	182670.0	29602.5	652295.0	483832.0	117831.0	436067.0	297506.0	292348.0	619957.0	300434.0	169263.0	228368.0	286509.0	5935.0	0.0	61079.8	1992.5	118124.0	805502.0	1273.5
ENSMUSG00000000544	Gpa33	0.0	0.0	0.0	0.0	0.0	1813.3	49303.2	0.0	0.0	23629.1	100818.0	0.0	41835.9	0.0	2199.2	0.0	2395.0	0.0	80978.4	0.0
ENSMUSG00000000552	Zfp385a	11834.3	48555.7	14161.4	18353.0	18906.0	9949.6	161378.0	4083.9	2517.7	17254.7	11983.8	0.0	11008.0	18191.0	35939.0	2246.0	46450.7	6349.4	71421.5	7596.2
ENSMUSG00000000555	Itga5	6460.3	9923.4	151610.0	4854.4	2708.5	0.0	0.0	1514.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102868.0	0.0	0.0
ENSMUSG00000000561	Wdr77	4049060.0	2209940.0	1823320.0	3366480.0	3298990.0	3337360.0	2437380.0	2666490.0	2619580.0	3723880.0	3385140.0	2066490.0	2509530.0	1691000.0	2524290.0	1947470.0	1650330.0	820087.0	2333410.0	3408740.0
ENSMUSG00000000563	Atp5f1	7490900.0	7305550.0	10685600.0	13182400.0	12770400.0	6891000.0	9913940.0	8346600.0	12695500.0	10511000.0	24769400.0	12059700.0	6895470.0	10777200.0	29305700.0	21127700.0	18157600.0	14725700.0	16222400.0	14702500.0
ENSMUSG00000000567	Sox9	2823.4	74148.7	154847.0	0.0	2569.4	1112.5	0.0	2925.9	0.0	70542.7	0.0	1808.6	660.4	3576.2	1051.5	0.0	1099.6	0.0	1617.5	1480.2
ENSMUSG00000000568	Hnrnpd	963311.0	3469660.0	1554230.0	1553630.0	6635190.0	2685000.0	2805750.0	2762760.0	2819440.0	1640900.0	2351860.0	3471580.0	1509440.0	2628710.0	3839750.0	4460800.0	189357.0	1845460.0	1307580.0	4171520.0
ENSMUSG00000000579	Dynlt1c	0.0	0.0	113795.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32306.7	743242.0	0.0	0.0
ENSMUSG00000000581	C1d	6967990.0	4301100.0	5100440.0	12277600.0	8827190.0	5744230.0	6475470.0	2608860.0	7871330.0	5962710.0	4307920.0	4416570.0	4479040.0	9467330.0	11310600.0	9127030.0	11853100.0	5194870.0	8942570.0	11929900.0
ENSMUSG00000000594	Gm2a	698076.0	523048.0	347965.0	615366.0	549789.0	554206.0	447944.0	387006.0	626880.0	816553.0	279897.0	139828.0	333308.0	210800.0	32858.4	32609.8	89748.1	346850.0	819953.0	317530.0
ENSMUSG00000000600	Krit1	117654.0	50065.8	90525.6	82180.9	62600.6	247768.0	7582.0	1385.2	50138.3	7075.2	48207.0	13126.1	130129.0	10215.9	14405.7	47257.8	85929.5	193971.0	133145.0	57400.0
ENSMUSG00000000605	Clcn4-2	0.0	660.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5016.1	1220.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000617	Grm6	0.0	1035.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120723.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000628	Hk2	875.5	1288810.0	0.0	0.0	0.0	239488.0	1204960.0	1698510.0	6945.5	1574060.0	0.0	300283.0	0.0	0.0	3021.7	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000631	Myo18a	347758.0	632732.0	20309.7	2767510.0	60595.4	0.0	0.0	1851.9	17852.8	240879.0	368196.0	891358.0	1491690.0	0.0	31057.7	1121840.0	0.0	0.0	661.2	0.0
ENSMUSG00000000632	Sez6	7754.8	1794.5	1315.7	1622.1	0.0	0.0	1673.4	1757.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000673	Haao	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51581.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000682	Cd52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	532939.0	246685.0	49508.4	0.0	0.0	1019200.0	0.0	0.0	0.0	0.0
ENSMUSG00000000686	Abhd15	33946.1	29747.7	0.0	0.0	32092.5	22597.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19145.2	23659.0	29433.9	0.0	0.0
ENSMUSG00000000693	Loxl3	0.0	0.0	0.0	6248.4	17347.0	3675.1	1336.3	0.0	0.0	3821.9	4766.5	2407.2	10098.8	0.0	0.0	0.0	18036.8	0.0	0.0	0.0
ENSMUSG00000000701	Tcl1b5	1067940.0	477171.0	1055440.0	1172110.0	731977.0	12577.6	2388990.0	2380190.0	896455.0	1456290.0	972501.0	2486430.0	667004.0	65149.1	1892210.0	1403370.0	3313590.0	1844790.0	1170410.0	2319690.0
ENSMUSG00000000708	Kat2b	924902.0	3157060.0	571385.0	1084690.0	1139380.0	2759960.0	1834900.0	942738.0	774062.0	1214500.0	1994940.0	1212750.0	2039490.0	1007190.0	131051.0	740220.0	6424.1	1140920.0	3899010.0	3476550.0
ENSMUSG00000000711	Rab5b	291215.0	215384.0	140661.0	185508.0	12451.6	169090.0	213722.0	145427.0	227774.0	270334.0	8746.4	76502.1	106296.0	53108.6	97002.2	65334.5	56395.5	78548.0	138649.0	26090.6
ENSMUSG00000000724	Cryba1	0.0	0.0	73012.8	0.0	0.0	2795.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000730	Dnmt3l	1077750.0	874825.0	768925.0	1225590.0	679596.0	1115880.0	166577.0	1260540.0	1709920.0	2186110.0	899983.0	13875.6	1205520.0	38817.3	1952750.0	270143.0	871550.0	226997.0	940957.0	66110.3
ENSMUSG00000000731	Aire	0.0	0.0	0.0	186903.0	0.0	0.0	0.0	0.0	0.0	0.0	86983.2	0.0	0.0	0.0	0.0	208069.0	0.0	0.0	0.0	0.0
ENSMUSG00000000732	Icosl	50000.2	66074.3	16675.9	1015.5	341981.0	218068.0	94196.6	125613.0	250673.0	34348.7	56260.9	5893.3	221074.0	128687.0	38000.2	2286.0	42565.3	236579.0	0.0	18681.3
ENSMUSG00000000751	Rpa1	28605.1	336957.0	279955.0	556634.0	368380.0	1349160.0	2480020.0	309092.0	463994.0	756709.0	1945100.0	64654.1	214010.0	151680.0	0.0	211248.0	1442.8	372497.0	2288270.0	321022.0
ENSMUSG00000000753	Serpinf1	0.0	0.0	6728.4	0.0	0.0	283444.0	0.0	0.0	0.0	342084.0	0.0	0.0	0.0	69276.6	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000759	Tubgcp3	90856.7	256214.0	371250.0	1227210.0	777508.0	648280.0	222945.0	305466.0	470835.0	4074.5	589198.0	1718.1	8708.5	12480.3	0.0	72577.1	189554.0	3079780.0	5345420.0	438473.0
ENSMUSG00000000766	Oprm1	0.0	0.0	0.0	7128.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1540.4	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000776	Polr3d	1515030.0	1550990.0	718271.0	781522.0	751089.0	668855.0	95193.6	750202.0	883474.0	463496.0	648663.0	634996.0	1111700.0	272305.0	1076890.0	974494.0	245472.0	1207350.0	1513890.0	1202700.0
ENSMUSG00000000782	Tcf7	488902.0	34633.6	349600.0	476716.0	26070.6	1487.4	532419.0	165176.0	82124.6	420146.0	355897.0	507689.0	315339.0	330626.0	619924.0	157501.0	994128.0	34931.1	1159.5	9786.1
ENSMUSG00000000787	Ddx3x	1405020.0	1540040.0	1412000.0	1194690.0	2086290.0	2527540.0	1487760.0	1443480.0	1363630.0	1527140.0	1973920.0	1248780.0	767303.0	2314810.0	1617260.0	1972460.0	1507770.0	1157530.0	1243350.0	1466980.0
ENSMUSG00000000804	Usp32	1810190.0	466592.0	893690.0	1510380.0	1151490.0	1606950.0	3533800.0	813461.0	1708500.0	1516230.0	4499090.0	42440.5	1797900.0	2502710.0	2298180.0	2310070.0	1880250.0	891196.0	41856.0	1832720.0
ENSMUSG00000000811	Txnrd3	1879.1	0.0	0.0	0.0	19194.3	0.0	0.0	0.0	0.0	0.0	2600.1	430056.0	904.5	485866.0	1853.3	0.0	0.0	0.0	0.0	7558.2
ENSMUSG00000000823	Znf512b	502113.0	231101.0	353963.0	46491.4	225771.0	419963.0	386780.0	342490.0	411242.0	503315.0	492262.0	16704.4	300968.0	2952.0	0.0	82199.7	1545.4	1408050.0	202988.0	16180.4
ENSMUSG00000000826	Dnajc5	822235.0	91632.3	297477.0	561043.0	593923.0	632974.0	1094120.0	324345.0	650068.0	268572.0	72950.8	102466.0	966104.0	14562.0	243433.0	31633.9	43941.0	1278210.0	963782.0	489274.0
ENSMUSG00000000827	Tpd52l2	7567320.0	7979840.0	5805080.0	8931640.0	7624610.0	6415650.0	5717290.0	8364480.0	8383620.0	7481650.0	8552150.0	7016680.0	6683210.0	8111190.0	10546400.0	9463570.0	7976040.0	7731180.0	8822590.0	9782960.0
ENSMUSG00000000838	Fmr1	36723.2	321972.0	74534.7	246063.0	576641.0	201760.0	573346.0	684854.0	692987.0	176212.0	132232.0	7045.0	250862.0	971571.0	85030.7	63864.0	52717.3	187025.0	286782.0	532802.0
ENSMUSG00000000861	Bcl11a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	436.9	0.0	0.0	223742.0	12972.1	0.0	713.6
ENSMUSG00000000869	Il4	0.0	627236.0	0.0	0.0	0.0	219271.0	234359.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000876	Pxmp4	858037.0	956464.0	52690.0	965.0	664860.0	238621.0	1208730.0	764065.0	1168810.0	228602.0	124911.0	563116.0	803433.0	48401.8	3822770.0	3199.6	10518.7	733605.0	652974.0	1771700.0
ENSMUSG00000000881	Dlg3	261133.0	138998.0	367310.0	332502.0	1594330.0	852091.0	19112.1	68528.4	790003.0	45789.5	0.0	0.0	2180450.0	0.0	924.8	3248200.0	11704.1	7600.9	319653.0	3892500.0
