gene_id	zygote_1	zygote_2	zygote_3	zygote_4	zygote_5	zygote_6	zygote_7	zygote_8	zygote_9
ENSMUSG00000000355	150922	352022	47776.7	661447	595197	0	0	176199	424551
ENSMUSG00000000365	777381	741076	403076	634211	504166	725470	969.841	723859	768346
ENSMUSG00000000374	22975.2	69284	167799	56469.5	20297.1	31878.3	33697.5	51704.7	28294.7
ENSMUSG00000000378	0	54746.7	50365.5	476862	211384	185830	0	0	0
ENSMUSG00000000384	225581	612096	134373	106084	515651	383905	417071	202752	50569
ENSMUSG00000000386	0	0	0	0	0	0	0	26978.8	4556.91
ENSMUSG00000000399	454430	401879	457397	306057	542779	150449	0	98280.9	191513
ENSMUSG00000000402	358567	430714	271306	492334	525631	241320	132789	394312	333389
ENSMUSG00000000411	0	0	0	0	0	0	951960	0	0
ENSMUSG00000000416	73324.5	797912	49174.8	662832	420043	128074	0	218531	103871
ENSMUSG00000000420	561457	228039	53904.5	112187	377279	153248	0	373400	382551
ENSMUSG00000000439	1426040	1519480	1105090	1171080	1352670	1351900	101445	1450300	1232470
ENSMUSG00000000440	878097	818810	566793	845592	643428	774814	2091.63	663670	418265
ENSMUSG00000000441	845754	1009520	1085520	1007570	1206500	817375	154507	916503	1143150
ENSMUSG00000000486	95737.4	11630.3	165723	60648.2	12647.7	96440.8	0	16291	141557
ENSMUSG00000000489	226522	143279	407843	91514.8	283253	41420.1	0	29120.6	97419.8
ENSMUSG00000000531	21022.5	42939.5	17602.7	0	38132.8	15383.4	0	0	0
ENSMUSG00000000532	67272.7	111724	246186	74020.6	55354.3	107508	0	58496.2	60310.5
ENSMUSG00000000538	573941	407209	506080	424324	397026	342891	242961	491230	257418
ENSMUSG00000000544	83758.6	30662.1	6435.36	125512	19237	0	0	68123.9	27116.1
ENSMUSG00000000552	90709	110960	445197	119046	104827	198582	0	189191	118076
ENSMUSG00000000555	23767.8	0	572.394	988.481	0	4001.56	0	0	0
ENSMUSG00000000561	0	10862.5	0	0	0	0	0	7729.55	21361.6
ENSMUSG00000000562	0	26663.8	0	0	0	18532.9	0	0	0
ENSMUSG00000000563	4215720	3441330	3033340	3245810	3500310	4601040	1465550	2376460	3742550
ENSMUSG00000000567	1333.38	1516.81	0	0	0	0	61165.5	0	7482.97
ENSMUSG00000000568	1446730	1205530	1286030	1696420	1646740	1692000	8546.02	2057910	1864440
ENSMUSG00000000579	79887.6	0	0	0	0	0	298687	0	0
ENSMUSG00000000581	1478710	941971	1247610	2317440	125583	436474	2053210	1255490	704614
ENSMUSG00000000594	0	935.685	463.172	0	0	0	79676	0	9056.43
ENSMUSG00000000600	17073.3	35767.2	28517.7	28039.7	30726	36381.6	0	11120.7	20520.1
ENSMUSG00000000605	14146.8	46704.6	30880.8	19927.9	18483.4	15312.5	0	2322.19	17085.3
ENSMUSG00000000628	1247890	833326	130875	515889	581460	451914	512861	441166	632142
ENSMUSG00000000631	1471530	3313880	1499820	1327000	1883060	644343	2230530	2340810	4113110
ENSMUSG00000000632	0	7773.37	54576.8	0	0	0	7734.26	0	0
ENSMUSG00000000682	0	0	0	0	0	0	0	0	95128.8
ENSMUSG00000000686	2225.66	0	0	3.57E-189	2.18E-236	7.39E-50	71810.8	0	0
ENSMUSG00000000693	4849.64	9227.42	13767.6	9672.55	14755.2	2.61E-73	0	5.87E-55	7370.42
ENSMUSG00000000701	4006660	3930030	3273050	4062670	5005000	3993610	8241.46	4435710	5483500
ENSMUSG00000000708	0	0	0	0	0	0	129883	0	0
ENSMUSG00000000711	18694.9	53497.8	7301.08	32562.1	35858	19113	955.984	45408.1	64958.6
ENSMUSG00000000730	47509900	50397500	8144590	40867400	41166600	24666300	4462.01	73963400	23790700
ENSMUSG00000000731	426768	88346	5839.37	149153	389835	59901.3	0	292990	131393
ENSMUSG00000000732	460980	459307	379490	891575	783877	603678	57130.8	902845	734916
ENSMUSG00000000751	2903140	1266880	1153720	1921240	2412800	674289	129949	1276150	722206
ENSMUSG00000000759	429065	119685	156081	0	419691	31283.5	0	11662.9	367636
ENSMUSG00000000766	2868.58	0	779.031	0	0	161255	6.51E-145	0	0
ENSMUSG00000000776	24012.7	412004	150193	262707	197123	39828.2	0	190629	162218
ENSMUSG00000000782	696594	543883	529867	715292	679978	604650	2573.14	514192	628204
ENSMUSG00000000787	2492200	1391700	1491250	1457780	1264470	1802290	291025	1859690	2154040
ENSMUSG00000000792	0	0	0	19083.1	0	14181.8	0	2258.59	0
ENSMUSG00000000794	0	0	0	61818	7665.4	0	0	0	0
ENSMUSG00000000804	434639	67593.7	98833.8	50971.3	220925	44109.5	287729	24671.8	144382
ENSMUSG00000000805	131142	0	0	0	0	0	0	0	0
ENSMUSG00000000811	248888	143242	193854	391788	358857	405108	1600.09	152015	506508
ENSMUSG00000000823	511194	650860	405521	600132	770413	584355	57350.5	677317	323313
ENSMUSG00000000826	185543	169398	3335.47	140457	145328	94227.8	239361	88522.9	72707.9
ENSMUSG00000000827	6513160	7831520	5267780	7749660	8639050	9339610	29438.3	7913670	6951290
ENSMUSG00000000838	57887.1	24202.2	13985.9	77852	68082.4	89349.6	91658.4	21984.4	20692.8
ENSMUSG00000000861	0	0	0	0	0	0	1514.85	0	0
ENSMUSG00000000869	0	0	0	0	0	0	0	0	254960
ENSMUSG00000000876	348596	320595	448482	586092	200449	424839	2283.38	89110.8	116139
ENSMUSG00000000884	3915880	2479350	3668820	4547410	2217360	3103300	0	1522350	1183190
ENSMUSG00000000889	82891.6	53274.4	966.832	54497.7	43708.9	50223.6	51340.1	0	0
ENSMUSG00000000902	1904110	2486620	2370740	2343690	2648930	2144520	447216	2353220	1480320
ENSMUSG00000000903	53264.4	0	0	0	0	0	1252570	0	0
ENSMUSG00000000915	97000.4	156078	105830	39833.9	42607.9	150031	1016.86	375503	3862.14
ENSMUSG00000000916	6.53E-18	1169910	1050120	308315	35133.4	609784	0	626593	9542.82
ENSMUSG00000000934	0	0	7075.33	0	9098.98	0	0	0	19333.9
ENSMUSG00000000942	4724.84	0	0	0	0	0	0	0	0
ENSMUSG00000000948	899402	787138	853323	838052	837770	830555	260106	557388	562750
ENSMUSG00000000958	23169.6	166404	0	54896.1	167241	226582	0	111085	102543
ENSMUSG00000000959	225926	167772	298499	432932	447032	150214	0	397209	188162
ENSMUSG00000000976	557473	272736	440042	418641	1718820	535538	18851.3	919577	72746.1
ENSMUSG00000000982	258973	193005	1282070	823130	226530	212244	0	254985	338425
ENSMUSG00000000983	0	0	0	0	0	0	0	0	851171
ENSMUSG00000001014	0	0	0	0	0	0	0	0	107106
ENSMUSG00000001016	832353	803353	870923	1096290	776653	865694	9243.26	766382	577575
ENSMUSG00000001017	256757	573344	288783	303009	571283	377824	0	220875	200008
ENSMUSG00000001018	338085	569458	595330	854497	671961	405413	0	299424	721348
ENSMUSG00000001034	54471.2	268584	0	0	44700.2	171920	15628.4	191652	41139.2
ENSMUSG00000001036	6623660	11201400	11303400	8196840	5241080	10819000	3933480	9351210	6198990
ENSMUSG00000001039	10864200	8197260	8459350	10270800	11741800	8930120	97744.9	10199100	15226600
ENSMUSG00000001052	764017	128286	471007	246372	631417	401123	0	1196100	211365
ENSMUSG00000001054	0	471578	293508	94834.8	452308	158767	2952.36	213009	21546.7
ENSMUSG00000001056	922048	1278850	784806	1168530	585734	795705	0	922406	519305
ENSMUSG00000001082	4415780	3076860	6562040	2912510	5768570	3175470	26807.2	6077240	2776010
ENSMUSG00000001089	12788600	17441700	19290300	17143600	18111100	14500700	26622800	22533000	21474800
ENSMUSG00000001098	477871	646851	1037660	456832	486085	541818	1.34E-16	474185	195803
ENSMUSG00000001100	75745.3	167452	100339	84797.3	111796	70696.9	413200	206817	263290
ENSMUSG00000001103	2942270	2505830	2332550	2442610	2171670	3041850	1172040	2821600	2451070
ENSMUSG00000001105	3800730	2926300	3960490	3763490	3778810	3399330	78431.9	2875190	3284730
ENSMUSG00000001120	764998	1147750	638078	679543	1450860	989350	0	712816	553140
ENSMUSG00000001123	167227	231524	303329	291229	175051	97554.7	0	124354	82074.9
ENSMUSG00000001127	497900	628786	271773	1198430	774800	227307	0	835579	376106
ENSMUSG00000001131	0	9587.68	402348	17438.8	0	0	0	0	0
ENSMUSG00000001134	191892	257545	225949	480562	209055	584198	0	273228	278648
ENSMUSG00000001138	976.43	0	3077.18	0	8997.05	0	0	0	0
ENSMUSG00000001143	176969	332183	171893	533443	213455	266113	503889	195928	198724
ENSMUSG00000001150	526665	359995	303787	393914	434255	426015	1136.16	323017	346903
ENSMUSG00000001151	468041	597627	437330	525724	504929	544251	116124	480597	491018
ENSMUSG00000001156	508962	419919	481602	335333	423478	275580	2012.01	375487	407286
ENSMUSG00000001157	201157	187835	206744	196751	106726	63217	2212.16	120047	215056
ENSMUSG00000001158	13951100	13966900	8618310	13316800	17180200	22014300	4462330	15380100	27201200
ENSMUSG00000001166	7086740	6135950	4579910	6663910	6837930	9564000	581272	7251390	6708340
ENSMUSG00000001168	5381110	5276640	3758940	5509450	5746510	7047080	951784	6708000	8037800
ENSMUSG00000001173	155406	106062	62777.1	129012	72080.2	36858.8	70089.8	27391.8	187441
ENSMUSG00000001175	17879200	19411400	10708100	17848900	22485400	30114400	11133000	21183600	41087700
ENSMUSG00000001211	0	250191	118344	416623	54732.8	51280.8	0	0	107340
ENSMUSG00000001225	0	0	0	0	1712.06	0	0	0	0
ENSMUSG00000001228	2270910	2049500	2308180	2450530	2004160	2084320	3854530	2088030	2051910
ENSMUSG00000001229	110349	11481.1	14434.4	32177.9	41253.6	0	0	22780.9	22080.8
ENSMUSG00000001240	1126090	140689	284169	315035	289745	78240.5	0	4.71E-12	128231
ENSMUSG00000001247	152007	179860	430474	496290	311343	220481	1498.17	344514	182877
ENSMUSG00000001260	0	0	0	0	0	0	0	0	1627.14
ENSMUSG00000001270	1229860	784740	1152220	1971870	1280930	1176990	434442	1567570	591974
ENSMUSG00000001280	141578	170136	768684	195363	148328	96130.6	328.155	180597	62558.4
ENSMUSG00000001285	417317	30790.5	0	0	0	0	0	0	307704
ENSMUSG00000001289	13518200	15395000	12642000	16043800	16151400	16941100	2635680	16109400	15815600
ENSMUSG00000001300	251074	445109	425667	365867	342754	272613	203666	342472	368830
ENSMUSG00000001305	358196	634126	1160490	1029190	613179	275246	0	755718	15962.2
ENSMUSG00000001313	0	0	7039.2	51175.6	0	0	0	0	0
ENSMUSG00000001323	11499.7	244721	574552	161074	5001.87	31020.6	39655.2	270678	16613.7
ENSMUSG00000001333	0	4.42E-108	0	0	1.59E-199	0	1.98E-07	0	0
ENSMUSG00000001334	0	0	0	68585.6	0	0	139207	0	0
ENSMUSG00000001348	274792	338639	640153	341505	616863	226640	48148.2	99406.6	291093
ENSMUSG00000001349	502172	559340	717201	710279	594020	566744	4240	594410	382854
ENSMUSG00000001366	3974180	4158210	2075100	3932430	3516200	3508820	8539950	3772000	2643830
ENSMUSG00000001376	2290010	886781	249857	858773	1557890	485118	452103	892857	1379480
ENSMUSG00000001380	276088	291586	258527	710227	324662	258285	715662	420956	354301
ENSMUSG00000001383	722191	734992	820965	756864	764953	756862	319110	702829	705284
ENSMUSG00000001403	2783610	4074400	3236270	3323920	3472770	3806110	0	2987940	3064970
ENSMUSG00000001415	13483	47356.8	80905.8	37162	31988.7	33856.8	0	0	6206.28
ENSMUSG00000001416	3883950	3737370	2539420	3359750	3293400	3481690	1765.16	4507650	4382100
ENSMUSG00000001417	198186	181108	10753.7	361933	244383	39619.4	0	200544	139309
ENSMUSG00000001418	2808980	1924390	0	674207	572826	1003490	0	2693310	898243
ENSMUSG00000001419	135672	35757.2	35166.9	455475	208604	239005	0	150018	190328
ENSMUSG00000001420	0	0	48249.5	0	0	29039.7	0	2.77E-246	93316.3
ENSMUSG00000001424	693782	1022590	948202	1768630	825784	691583	0	806969	708157
ENSMUSG00000001436	210235	0	0	54516.9	0	897190	87977.2	380105	140289
ENSMUSG00000001440	901472	873104	532250	251040	644842	606208	489.005	740187	551446
ENSMUSG00000001441	503599	498321	930509	233383	427699	133527	90426.3	114069	20663.3
ENSMUSG00000001445	894456	746011	1242040	1005810	1054090	778614	57064.3	1200020	861692
ENSMUSG00000001467	20102.7	1238.45	0	9718.83	1537.33	14615.5	0	191297	0
ENSMUSG00000001473	5172400	5636110	3969550	4722240	7419180	7629210	14404.5	5398320	6386410
ENSMUSG00000001493	0	0	0	0	0	0	0	5952.75	6828.78
ENSMUSG00000001494	22181.9	0	0	0	0	0	0	0	0
ENSMUSG00000001497	0	0	0	0	0	5959.64	0	0	149887
ENSMUSG00000001504	16481.3	0	0	0	0	0	0	0	0
ENSMUSG00000001506	0	0	536.346	1943.09	4165.35	0	0	0	0
ENSMUSG00000001507	0	27532.1	0	0	0	0	0	0	34651.5
ENSMUSG00000001508	0	212110	0	0	0	0	0	24167.1	0
ENSMUSG00000001517	425112	190133	480235	448519	408206	355811	384377	416798	409060
ENSMUSG00000001518	0	0	4576.38	128277	24797.9	12024.8	0	5108.27	23042.5
ENSMUSG00000001520	0	11791.6	0	0	0	0	0	0	0
ENSMUSG00000001521	423528	807331	1065210	740126	679279	682855	760556	1241270	340517
ENSMUSG00000001524	27411.4	63306.6	6610.52	861548	198105	205582	0	0	138196
ENSMUSG00000001525	593843	662646	1027190	689798	601382	707401	0	492310	439682
ENSMUSG00000001542	80719.6	93025.1	83249	44809.2	38253.3	62947.7	0	33442.1	73324.3
ENSMUSG00000001552	104957	194060	57308.5	193476	155966	257949	0	53197.4	51582.9
ENSMUSG00000001569	186746	218641	50897.7	5707.88	400036	157984	0	41479.3	17329.7
ENSMUSG00000001576	821286	468403	834598	265853	395508	593772	1295.6	728526	132283
ENSMUSG00000001583	0	0	0	0	0	0	2643.07	0	0
ENSMUSG00000001588	0	5806.2	0	20791.5	0	0	0	0	0
ENSMUSG00000001604	1950520	2292190	2891810	2544950	2309310	1723700	6589.71	2169180	2013710
ENSMUSG00000001627	7582710	7980330	7285430	7165130	7878510	6448590	324751	10995100	9383340
ENSMUSG00000001630	79092.3	163082	93469.4	181718	163197	119239	21017.5	162870	91571.6
ENSMUSG00000001632	40950.2	3401.29	2815.6	3053.76	99611.9	0	1161.32	5185.03	25387.4
ENSMUSG00000001642	2526980	2479570	1866060	2472540	2777790	2704260	696128	3303620	1929770
ENSMUSG00000001655	22620.2	0	0	0	0	0	0	0	0
ENSMUSG00000001657	0	0	0	0	0	0	144439	0	0
ENSMUSG00000001663	356469	6622.14	0	0	16527.6	0	28627.4	7730.09	0
ENSMUSG00000001665	13328	0	0	0	136951	0	101944	144922	0
ENSMUSG00000001666	427903	843301	0	815448	413470	689188	1549720	780078	67898
ENSMUSG00000001670	0	0	0	0	0	21768.8	470631	0	0
ENSMUSG00000001672	0	10504.6	19304.5	0	47000.2	180569	1500.91	56057.1	0
ENSMUSG00000001674	3119170	1639090	3022780	2726570	2386520	2787190	3476.93	2905310	5131240
ENSMUSG00000001687	1727990	2040620	1274960	2373500	2099490	1925630	46607.6	2224280	1496340
ENSMUSG00000001700	0	0	0	0	0	3667.98	0	0	0
ENSMUSG00000001707	2796600	3320420	2630930	2481760	2967200	2655640	638887	2581000	2969100
ENSMUSG00000001729	846646	817729	528085	695396	763710	515996	1153500	549805	326414
ENSMUSG00000001739	884249	890232	768568	698473	1474140	613019	2004.66	1667400	32859.3
ENSMUSG00000001741	0	0	0	2.87E-10	0	0	0	0	0
ENSMUSG00000001750	22287.9	0	0	304572	0	0	0	0	0
ENSMUSG00000001751	0	0	100617	36741.1	70383.4	4256.03	0	12065.2	0
ENSMUSG00000001755	13379.6	62826.2	364866	270731	342113	69062.6	0	281933	35781.1
ENSMUSG00000001763	94462.7	125032	486544	136661	298817	77643.5	269314	21140.3	48588.7
ENSMUSG00000001767	5909440	5237800	2331710	6945130	6458180	9130120	84811.9	6580730	9967330
ENSMUSG00000001768	127986	287464	34178	424464	91564.4	46452.5	2456470	75582.5	55166.8
ENSMUSG00000001773	0	50069.7	0	25210.9	8509.5	21640.6	0	0	0
ENSMUSG00000001774	675675	1014630	615586	793195	1018540	604730	6397.85	1015680	496485
ENSMUSG00000001783	303762	866686	765649	760941	256114	601191	20312.9	255238	328989
ENSMUSG00000001785	35807.6	153278	0	127978	57723.9	174718	94024.9	0	65594.7
ENSMUSG00000001786	2023390	2436870	1016590	2608890	1448340	1799440	572373	1938640	930351
ENSMUSG00000001794	723097	1379410	422148	1050970	968756	1049360	0	1049740	1730520
ENSMUSG00000001815	0	0	0	0	0	0	952.225	0	0
ENSMUSG00000001819	0	16858.3	0	52694.4	3008.28	36643.5	151893	2826.25	5981.37
ENSMUSG00000001823	0	0	0	0	0	44526.2	0	8004.21	0
ENSMUSG00000001827	0	0	0	31112.4	0	206572	1072580	0	0
ENSMUSG00000001829	809210	389433	1239040	929446	885035	957486	0	871882	370385
ENSMUSG00000001833	672671	908390	666634	855383	808684	847920	80879.4	821851	686779
ENSMUSG00000001844	103071	41887.2	37317	551948	0	881939	1406010	287123	168094
ENSMUSG00000001847	2190600	2926680	3415120	2289340	3121850	3608410	1277840	2794720	3061400
ENSMUSG00000001855	7361180	7010280	6945030	7115870	7594300	6702170	4943110	5428020	6717560
ENSMUSG00000001864	0	0	0	0	0	0	242704	1870.66	0
ENSMUSG00000001870	1354.55	0	2895.39	2603.29	0	2568.37	40065.4	0	0
ENSMUSG00000001891	121110	133948	140214	338163	346197	66432.3	815482	355537	213839
ENSMUSG00000001901	0	0	0	0	0	6428.59	0	0	0
ENSMUSG00000001909	1297910	1298790	0	1016220	608341	465912	0	611830	864237
ENSMUSG00000001910	16721.9	43538.6	67099.3	66904.7	95826.2	53849.1	0	72039.7	13828.6
ENSMUSG00000001911	847350	1512630	1176870	591386	1034340	520349	1016140	480883	1785360
ENSMUSG00000001918	0	0	0	0	0	0	4380850	0	0
ENSMUSG00000001924	3194950	2478470	2327830	2496600	3478640	2624940	21525.7	3160770	4753690
ENSMUSG00000001930	1161.31	9712.28	1138.22	0	0	0	118837	2743.93	0
ENSMUSG00000001942	332614	172205	339868	199499	184244	46889.8	805.087	95827.8	124613
ENSMUSG00000001946	0	0	0	0	0	0	469527	0	0
ENSMUSG00000001948	590965	590205	0	643517	316760	392137	0	502747	638638
ENSMUSG00000001962	801735	1234060	310227	1037370	581074	200595	3473.86	1137340	735792
ENSMUSG00000001964	775976	818330	1787420	762682	300623	1071270	9753.88	689869	626911
ENSMUSG00000001983	80785.3	98773.6	81701.7	117531	64464.2	8963.81	0	155142	13284.6
ENSMUSG00000001986	0	0	0	0	0	0	0	0	0
ENSMUSG00000001995	93341.7	191592	252400	139197	191570	161864	22032.6	169811	144491
ENSMUSG00000001998	54460.4	88480	14689.1	18627.6	64038.7	67839.7	0	64412.6	39947.7
ENSMUSG00000001999	2333810	2078520	2407080	1879720	3141980	3050330	7852.92	3258700	1572360
ENSMUSG00000002007	0	0	0	0	0	119939	0	201811	0
ENSMUSG00000002010	323864	14858.7	439214	0	227152	548096	0	77633.1	56929.5
ENSMUSG00000002014	1070120	26934.8	1211340	906940	1141360	1267500	0	299724	1719360
ENSMUSG00000002015	4763890	5174800	3320450	4641700	5319470	4900270	81902.5	5022030	5619440
ENSMUSG00000002017	1009720	554942	897420	688546	418928	622598	201796	403988	783926
ENSMUSG00000002020	73117.3	95744.3	186145	198711	944.828	130200	0	58022.7	118240
ENSMUSG00000002028	1607.5	8468.87	138.43	0	0	0	123339	0	19201.4
ENSMUSG00000002031	3943010	8441210	2909890	4112680	2982850	4708110	20026.1	3408540	6101840
ENSMUSG00000002043	1710040	3780190	3452890	2844490	2966290	1760580	236313	1612800	970424
ENSMUSG00000002052	201957	305592	274619	288408	187670	335614	2522.85	309451	244506
ENSMUSG00000002055	671141	395460	206849	266388	380755	355266	2868660	372309	289461
ENSMUSG00000002057	0	20337.6	793.877	0	0	0	0	0	0
ENSMUSG00000002058	0	0	0	0	0	69244.4	0	99127.5	58892.8
ENSMUSG00000002059	0	0	25181.3	0	6585.13	0	46960.5	28983.5	0
ENSMUSG00000002064	3705300	3847590	3709010	4012900	5115550	5047940	73088.8	4276850	4188980
ENSMUSG00000002068	0	237858	984716	0	0	184302	0	102921	176960
ENSMUSG00000002076	4189080	6067060	4822370	5094710	5709150	6355110	2940600	3740500	4741920
ENSMUSG00000002102	2019720	1290960	1240440	1265760	1391270	1842220	0	1540810	1471050
ENSMUSG00000002103	26032.4	28343.2	44235.6	31848	11081	46550.2	0	24073	113462
ENSMUSG00000002104	166366	192879	228415	118991	277742	59176.8	0	51265.4	172032
ENSMUSG00000002105	3043.72	82602.8	0	0	42562.8	0	0	32712.8	0
ENSMUSG00000002107	1038710	1177180	729379	927068	991488	948573	668124	1586990	852908
ENSMUSG00000002108	0	32454.3	0	13329.1	0	47993.4	0	0	0
ENSMUSG00000002109	2086330	2537830	2439650	2585990	2736010	2551770	7865.12	2587510	2147030
ENSMUSG00000002129	2926340	4236880	4105620	3222380	2800090	5868840	4771.54	2973670	5367920
ENSMUSG00000002147	2933290	1165800	2486130	1836280	1639420	1364100	2572.01	1898930	830543
ENSMUSG00000002190	0	4744.25	0	57860.6	0	3958.96	120861	31465.4	0
ENSMUSG00000002205	627880	712027	611341	853077	237906	394937	1382690	674066	140522
ENSMUSG00000002210	33382.6	62334.4	329201	48314.7	0	0	138867	13820.5	70027.1
ENSMUSG00000002221	309805	142636	101931	82256	149359	139151	0	215036	215023
ENSMUSG00000002222	265604	659201	543505	522267	569312	369826	808761	514297	454650
ENSMUSG00000002227	34081.7	31110.2	55832.4	67334.6	4038.99	8759.59	0	29804.1	21673.8
ENSMUSG00000002233	0	0	0	282343	0	132480	0	0	0
ENSMUSG00000002240	44160.8	9754.64	62471.6	79704.3	60913.6	43143	3316.66	52167.8	12557.9
ENSMUSG00000002249	45325.1	4590.23	0	10236.9	20252	0	0	0	0
ENSMUSG00000002250	23150.4	111942	68972	30152.7	128517	75716.6	61435.6	72878.4	32632
ENSMUSG00000002257	45258.2	191954	160502	116147	19121.3	21147.6	0	29939.9	147687
ENSMUSG00000002265	31693.8	42484.8	1773.88	53429.9	35365.3	47463.8	0	41880.2	20674.4
ENSMUSG00000002266	22359.6	54826.5	30088.1	11242.7	46182.1	33817.2	0	72209.8	72897.5
ENSMUSG00000002279	290903	77655.7	53687.1	183149	240874	122987	705.822	172619	277441
ENSMUSG00000002280	79589.7	47768.7	0	0	0	68354.2	0	54888.4	158944
ENSMUSG00000002289	0	0	0	72094.3	0	0	0	0	0
ENSMUSG00000002297	1390480	1481940	1188590	1294260	1342870	1333230	1310960	1581150	1602020
ENSMUSG00000002307	1571050	994239	2409810	1491910	1740320	902258	0	1506940	1579130
ENSMUSG00000002308	3545850	2831530	4131730	3131300	3575480	3720880	0	4883890	903976
ENSMUSG00000002319	44926.3	201527	2734430	3140810	253088	515271	0	435903	2305210
ENSMUSG00000002320	96858	0	305716	40573.3	47574.4	124139	0	110974	0
ENSMUSG00000002326	0	6996.07	0	0	0	0	0	20274.9	0
ENSMUSG00000002329	5268.04	0	136570	112439	18127.1	44466.8	2014.9	13634.9	176179
ENSMUSG00000002332	7798670	7714220	7473650	7881280	8764650	7793260	29314.9	8150330	6551320
ENSMUSG00000002341	0	0	313.984	0	0	0	24340	0	0
ENSMUSG00000002342	128132	0	37354.6	27247.8	0	4681.76	0	0	0
ENSMUSG00000002343	0	0	0	0	87009	0	1424590	0	0
ENSMUSG00000002345	300353	619392	670476	2283370	914889	697953	0	284731	993332
ENSMUSG00000002365	1061280	717320	1133240	740637	724941	874213	124043	943528	995636
